gnw1565_exp,ARACNE,BC3NET,C3NET,CLR,KBOOST,LEAP,MRNETB,MRNET,NARROMI,PCIT,PIDC,PUC,RSNET,BEST_GENECI,MEDIAN_GENECI
sim_BioGrid_Oryctolagus_cuniculus_mixed_exp,0.5758542733,0.3729389155,0.5249135344,0.6083491447,0.3601057673,0.3884183058,0.5799140126,0.6126112491,0.3444722086,0.2513285771,0.4680411011,0.4638216839,0.580389974,0.5972047561397985,0.5671058796638555
sim_BioGrid_Oryza_sativa_Japonica_mixed_exp,0.5308353266,0.2940688566,0.5159792273,0.6024530411,0.3256232363,0.3481294244,0.6320816678,0.6382435931,0.2829602834,0.2515290519,0.4038833426,0.4262850388,0.657473713,0.6102110231353425,0.5472658592174565
sim_BioGrid_Plasmodium_falciparum_3D7_mixed_exp,0.5121823151,0.2594323879,0.4040515989,0.5056909394,0.3357385662,0.3349299336,0.4911194818,0.5170163606,0.263045768,0.250890019,0.4741433371,0.4704418642,0.5010837267,0.5212880902430985,0.500871989200334
sim_BioGrid_Xenopus_laevis_mixed_exp,0.405343353,0.2557015135,0.3604832441,0.4491423791,0.2826292097,0.2775813582,0.4567015171,0.4602811844,0.2658113514,0.2505903297,0.3826288864,0.3802571834,0.4805915902,0.4651276805101405,0.4213525684507525
sim_GRNdb_Adult-Adipose_mixed_exp,0.6070755203,0.6121522512,0.5396332083,0.6276041879,0.3088165325,0.2914611734,0.5329412948,0.5761089176,0.2853799214,0.2506688688,0.4724270568,0.4611686938,0.5562136587,0.6483005782948075,0.6126637478581465
sim_GRNdb_Adult-Ascending-Colon_mixed_exp,0.4927348012,0.5207625335,0.4551334633,0.5800317188,0.2792005255,0.2743135816,0.4584541326,0.4804618247,0.2753189141,0.2505209709,0.4328694267,0.4409557676,0.4733388649,0.5476319448218104,0.533085595669699
sim_GRNdb_Adult-Epityphlon_mixed_exp,0.6259562175,0.6118451272,0.5651998988,0.619927684,0.316958861,0.2841236776,0.4801612876,0.5258866798,0.2864580065,0.2505466849,0.4537210452,0.4555517166,0.4928330906,0.613342280249855,0.579012585542113
sim_GRNdb_Adult-Liver_mixed_exp,0.5456549777,0.5543284643,0.4844393054,0.5880332845,0.3144384828,0.2887083099,0.4639532266,0.4886458684,0.2845294014,0.2505409046,0.4552324592,0.4356346054,0.4617249212,0.583582723568437,0.5508722472190756
sim_GRNdb_Adult-Lung_mixed_exp,0.4609455684,0.4809096574,0.4112005025,0.5539366468,0.315919981,0.3074929381,0.4718128287,0.4963037548,0.3075127467,0.2509155082,0.4516514624,0.4465534749,0.4850978548,0.5599302717432205,0.5350013672443344
sim_GRNdb_Adult-Muscle_mixed_exp,0.5411024728,0.5448658414,0.4944261178,0.5883672097,0.3001022701,0.2888492019,0.4804558218,0.5287496137,0.2856088364,0.250580581,0.4647492862,0.4549380909,0.4811738581,0.5890682614531075,0.5571984739675985
sim_GRNdb_Adult-Pancreas_mixed_exp,0.6392922857,0.6171525593,0.5808070526,0.6255251251,0.3396081491,0.3084578236,0.5247072145,0.5930328683,0.2917761731,0.2507936761,0.4799709632,0.4801145474,0.5341218365,0.6469547722874655,0.6130279920424425
sim_GRNdb_Adult-Rectum_mixed_exp,0.5415274955,0.5313422079,0.4793586689,0.5811825145,0.3433593104,0.2896584031,0.4842726348,0.5240892718,0.2818085066,0.2504038819,0.4540197656,0.4553114924,0.4894086606,0.5665301289345235,0.536639041024463
sim_GRNdb_Fetal-Brain_mixed_exp,0.5130272479,0.5535868821,0.4739691944,0.5595865479,0.289373565,0.3180341734,0.5442504683,0.56365979,0.2813660718,0.2520151869,0.425900752,0.4286777847,0.5628122597,0.5756707632927835,0.561016759865226
sim_GRNdb_Fetal-Calvaria_mixed_exp,0.6149369634,0.6168675357,0.5712205711,0.629685935,0.3630853891,0.2729884936,0.5323550506,0.5801808181,0.2794695008,0.2503174532,0.4783974334,0.4834415771,0.5436406632,0.6273657137073221,0.6002304252383055
sim_GRNdb_Fetal-Thymus_mixed_exp,0.521800918,0.536953463,0.4821117356,0.550890383,0.3073889991,0.2625064925,0.5156153411,0.5363732935,0.2548587433,0.2507230973,0.4202035662,0.4325754958,0.5296748949,0.556649863282602,0.527673572696722
sim_RegNetwork_human_mixed_exp,0.3040439463,0.2549198001,0.2928328861,0.4833584626,0.3336407298,0.3350957658,0.460713294,0.4578927016,0.3132471941,0.2519580841,0.4642587379,0.4640497287,0.345121554,0.4946560641846544,0.4757302447048956
sim_RegNetwork_mouse_mixed_exp,0.3022261439,0.2533236793,0.2908112613,0.4809116424,0.3395858255,0.3345098774,0.4610045785,0.4607380467,0.2997537704,0.2517638434,0.4628132736,0.4629537232,0.4775628332,0.4918473084082305,0.4718066486895652
sim_TFLink_Saccharomyces_cerevisiae_mixed_exp,0.5188238419,0.5585146977,0.4911518087,0.6396789379,0.3215631016,0.4507293814,0.5864809025,0.6151494763,0.3861736174,0.2514926238,0.5398312725,0.5200306985,0.6002846955,0.6381676350943385,0.6051755926954769
syntren1000_exp,0.3102209389,0.2597661198,0.2904752703,0.4206442105,0.3934740238,0.3976901428,0.4026724457,0.4296232009,0.2729746651,0.2523736263,0.320978491,0.2880430583,0.2005074459,0.4338378170517472,0.3961179640436186
syntren300_exp,0.3104028418,0.2688385004,0.2714534736,0.3705484164,0.2263584584,0.3717663044,0.3636052438,0.3786267709,0.2813040853,0.2515614617,0.2552093429,0.1825697991,0.2369571184,0.3090469511844191,0.2827302083083188
